5.0.0.0,5.0.255.255,SY
5.8.240.0,5.8.247.255,IQ
5.8.248.0,5.8.251.255,RU
5.8.252.0,5.8.255.255,ES
5.9.0.0,5.9.3.79,DE
5.9.3.80,5.9.3.247,PY
5.9.3.248,5.9.101.60,DE
5.9.101.61,5.9.101.159,BE
5.9.101.160,5.9.199.87,DE
5.9.199.88,5.9.199.255,SH
5.9.200.0,5.9.215.15,DE
5.9.215.16,5.9.215.255,BR
5.9.216.0,5.9.252.127,DE
5.9.252.128,5.9.252.255,IT
5.9.253.0,5.10.15.255,DE
5.10.16.0,5.10.25.255,GB
5.10.26.0,5.10.26.255,US
5.10.27.0,5.10.31.255,GB
5.10.32.0,5.10.39.255,GE
5.10.40.0,5.10.63.255,DE
5.10.64.0,5.10.65.159,NL
5.10.65.160,5.10.65.255,TR
5.10.66.0,5.10.68.43,NL
5.10.68.44,5.10.69.7,IT
5.10.69.8,5.10.70.55,NL
5.10.70.56,5.10.70.252,IN
5.10.70.253,5.10.71.255,NL
5.10.72.0,5.10.72.255,IL
5.10.73.0,5.10.74.23,NL
5.10.74.24,5.10.74.255,AU
5.10.75.0,5.10.75.255,CN
5.10.76.0,5.10.77.23,NL
5.10.77.24,5.10.77.207,BE
5.10.77.208,5.10.79.47,NL
5.10.79.48,5.10.79.255,TR
5.10.80.0,5.10.81.31,NL
5.10.81.32,5.10.81.255,SA
5.10.82.0,5.10.82.255,NL
5.10.83.0,5.10.83.255,VG
5.10.84.0,5.10.85.15,NL
5.10.85.16,5.10.85.247,EG
5.10.85.248,5.10.87.63,NL
5.10.87.64,5.10.87.255,US
5.10.88.0,5.10.88.255,GB
5.10.89.0,5.10.90.20,NL
5.10.90.21,5.10.91.7,US
5.10.91.8,5.10.92.63,NL
5.10.92.64,5.10.92.255,US
5.10.93.0,5.10.94.111,NL
5.10.94.112,5.10.94.255,IN
5.10.95.0,5.10.95.255,NL
5.10.96.0,5.10.97.49,US
5.10.97.50,5.10.98.31,GB
5.10.98.32,5.10.98.255,US
5.10.99.0,5.10.100.15,GB
5.10.100.16,5.10.100.191,DE
5.10.100.192,5.10.102.47,GB
5.10.102.48,5.10.102.223,US
5.10.102.224,5.10.103.255,GB
5.10.104.0,5.10.104.255,NL
5.10.105.0,5.10.105.255,GB
5.10.106.0,5.10.106.255,US
5.10.107.0,5.10.107.255,GB
5.10.108.0,5.10.109.31,US
5.10.109.32,5.10.110.47,GB
5.10.110.48,5.10.110.255,IT
5.10.111.0,5.10.111.255,GB
5.10.112.0,5.10.114.15,US
5.10.114.16,5.10.114.255,GB
5.10.115.0,5.10.115.255,US
5.10.116.0,5.10.119.255,GB
5.10.120.0,5.10.120.255,US
5.10.121.0,5.10.121.255,NL
5.10.122.0,5.10.122.255,GB
5.10.123.0,5.10.123.239,NL
5.10.123.240,5.10.124.255,GB
5.10.125.0,5.10.125.255,US
5.10.126.0,5.10.126.255,GB
5.10.127.0,5.10.127.255,US
5.10.128.0,5.10.135.255,FR
5.10.136.0,5.10.137.255,GB
5.10.138.0,5.10.138.255,DE
5.10.139.0,5.10.139.255,FR
5.10.140.0,5.10.140.255,TR
5.10.141.0,5.10.142.255,GB
5.10.143.0,5.10.143.255,SE
5.10.144.0,5.10.159.255,GB
5.10.160.0,5.10.191.255,DE
5.10.192.0,5.10.192.255,NL
5.10.193.0,5.10.193.255,US
5.10.194.0,5.10.194.255,SG
5.10.195.0,5.10.195.255,US
5.10.196.0,5.10.196.255,SG
5.10.197.0,5.10.197.255,US
5.10.198.0,5.10.198.255,SG
5.10.199.0,5.10.199.255,US
5.10.200.0,5.10.207.255,ES
5.10.208.0,5.10.223.255,DE
5.10.224.0,5.10.231.255,IQ
5.10.232.0,5.10.239.255,GB
5.10.240.0,5.10.255.255,AZ
5.11.0.0,5.11.7.255,AT
5.11.8.0,5.11.10.255,ZA
5.11.11.0,5.11.15.255,GB
5.11.16.0,5.11.18.255,IQ
5.11.19.0,5.11.21.255,GB
5.11.22.0,5.11.22.255,IQ
5.11.23.0,5.11.23.255,GB
5.11.24.0,5.11.25.255,IQ
5.11.26.0,5.11.27.255,GB
5.11.28.0,5.11.28.255,US
5.11.29.0,5.11.31.255,GB
5.11.32.0,5.11.39.255,IT
5.11.40.0,5.11.47.255,PS
5.11.48.0,5.11.55.255,DE
5.11.56.0,5.11.59.255,FR
5.11.60.0,5.11.79.255,RU
5.11.80.0,5.11.87.255,NL
5.11.88.0,5.11.95.255,GB
5.11.96.0,5.11.127.255,IT
5.11.128.0,5.11.255.255,TR
5.12.0.0,5.15.255.255,RO
5.16.0.0,5.19.255.255,RU
5.20.0.0,5.20.255.255,LT
5.21.0.0,5.21.255.255,OM
5.22.0.0,5.22.127.255,IR
5.22.128.0,5.22.135.255,IL
5.22.136.0,5.22.143.255,GB
5.22.144.0,5.22.151.255,DE
5.22.152.0,5.22.152.255,CZ
5.22.153.0,5.22.153.255,RU
5.22.154.0,5.22.154.255,SK
5.22.155.0,5.22.155.255,RU
5.22.156.0,5.22.159.255,UA
5.22.160.0,5.22.191.255,RS
5.22.192.0,5.22.207.255,IR
5.22.208.0,5.22.223.255,FI
5.22.224.0,5.22.231.255,GB
5.22.232.0,5.22.232.255,SE
5.22.233.0,5.22.236.31,NO
5.22.236.32,5.22.237.63,SE
5.22.237.64,5.22.238.255,NO
5.22.239.0,5.22.239.255,SE
5.22.240.0,5.22.247.255,DE
5.22.248.0,5.22.255.255,NL
5.23.0.0,5.23.0.255,TR
5.23.1.0,5.23.1.255,GB
5.23.2.0,5.23.2.255,DE
5.23.3.0,5.23.3.255,GB
5.23.4.0,5.23.4.255,IT
5.23.5.0,5.23.5.255,GB
5.23.6.0,5.23.7.255,HU
5.23.8.0,5.23.9.7,TR
5.23.9.8,5.23.9.255,GB
5.23.10.0,5.23.10.255,LU
5.23.11.0,5.23.11.255,GB
5.23.12.0,5.23.15.255,ES
5.23.16.0,5.23.16.255,TR
5.23.17.0,5.23.17.255,GB
5.23.18.0,5.23.18.255,NO
5.23.19.0,5.23.19.255,GB
5.23.20.0,5.23.21.255,SA
5.23.22.0,5.23.22.255,CH
5.23.23.0,5.23.23.255,GB
5.23.24.0,5.23.24.255,KZ
5.23.25.0,5.23.25.255,FR
5.23.26.0,5.23.26.255,ES
5.23.27.0,5.23.27.255,GB
5.23.28.0,5.23.28.255,ES
5.23.29.0,5.23.29.255,GB
5.23.30.0,5.23.31.255,DE
5.23.32.0,5.23.39.255,IT
5.23.40.0,5.23.47.255,FR
5.23.48.0,5.23.55.255,RU
5.23.56.0,5.23.63.255,FI
5.23.64.0,5.23.95.255,IS
5.23.96.0,5.23.111.255,RU
5.23.112.0,5.23.119.255,IR
5.23.120.0,5.23.127.255,TR
5.23.128.0,5.23.255.255,BE
5.24.0.0,5.27.255.255,TR
5.28.0.0,5.28.7.255,HU
5.28.8.0,5.28.15.255,IT
5.28.16.0,5.28.31.255,RU
5.28.32.0,5.28.39.255,KH
5.28.40.0,5.28.47.255,DE
5.28.48.0,5.28.63.255,GB
5.28.64.0,5.28.127.255,DE
5.28.128.0,5.28.191.255,IL
5.28.192.0,5.28.255.255,DE
5.29.0.0,5.29.255.255,IL
5.30.0.0,5.32.127.255,AE
5.32.128.0,5.32.135.255,BG
5.32.136.0,5.32.143.255,SI
5.32.144.0,5.32.151.255,RU
5.32.152.0,5.32.159.255,GB
5.32.160.0,5.32.167.255,DE
5.32.168.0,5.32.175.255,MD
5.32.176.0,5.32.183.255,MK
5.32.184.0,5.32.191.255,DE
5.32.192.0,5.32.255.255,OM
5.33.0.0,5.33.255.255,DK
5.34.0.0,5.34.127.255,KZ
5.34.128.0,5.34.159.255,ES
5.34.160.0,5.34.167.255,PS
5.34.168.0,5.34.169.191,GB
5.34.169.192,5.34.174.255,CZ
5.34.175.0,5.34.175.255,GB
5.34.176.0,5.34.177.255,SG
5.34.178.0,5.34.179.255,US
5.34.180.0,5.34.181.255,NL
5.34.182.0,5.34.183.255,UA
5.34.184.0,5.34.191.255,IT
5.34.192.0,5.34.223.255,IR
5.34.224.0,5.34.231.255,DE
5.34.232.0,5.34.239.255,NL
5.34.240.0,5.34.242.255,GB
5.34.243.0,5.34.245.255,EE
5.34.246.0,5.34.246.255,SE
5.34.247.0,5.34.247.255,IE
5.34.248.0,5.34.255.255,LI
5.35.0.0,5.35.159.255,RU
5.35.160.0,5.35.160.255,JE
5.35.161.0,5.35.161.255,GB
5.35.162.0,5.35.167.7,JE
5.35.167.8,5.35.167.255,GB
5.35.168.0,5.35.171.127,NL
5.35.171.128,5.35.171.255,SC
5.35.172.0,5.35.183.255,NL
5.35.184.0,5.35.191.255,SE
5.35.192.0,5.35.199.255,US
5.35.200.0,5.35.207.255,ES
5.35.208.0,5.35.215.255,RO
5.35.216.0,5.35.223.255,ES
5.35.224.0,5.35.255.255,DE
5.36.0.0,5.37.255.255,OM
5.38.0.0,5.38.127.255,AE
5.38.128.0,5.38.255.255,HU
5.39.0.0,5.39.0.255,FR
5.39.1.0,5.39.1.255,GB
5.39.2.0,5.39.2.255,ES
5.39.3.0,5.39.4.3,FR
5.39.4.4,5.39.4.255,NL
5.39.5.0,5.39.5.255,FR
5.39.6.0,5.39.6.255,PL
5.39.7.0,5.39.8.63,FR
5.39.8.64,5.39.8.255,BE
5.39.9.0,5.39.10.3,FR
5.39.10.4,5.39.10.255,BE
5.39.11.0,5.39.11.255,PL
5.39.12.0,5.39.12.255,FR
5.39.13.0,5.39.13.255,NL
5.39.14.0,5.39.15.7,FR
5.39.15.8,5.39.15.255,ES
5.39.16.0,5.39.17.31,FR
5.39.17.32,5.39.17.255,FI
5.39.18.0,5.39.18.255,ES
5.39.19.0,5.39.20.43,FR
5.39.20.44,5.39.20.255,ES
5.39.21.0,5.39.21.255,FR
5.39.22.0,5.39.22.255,FI
5.39.23.0,5.39.24.131,FR
5.39.24.132,5.39.24.255,ES
5.39.25.0,5.39.26.47,FR
5.39.26.48,5.39.26.255,IT
5.39.27.0,5.39.28.15,FR
5.39.28.16,5.39.28.255,ES
5.39.29.0,5.39.29.255,FR
5.39.30.0,5.39.30.255,PL
5.39.31.0,5.39.32.47,FR
5.39.32.48,5.39.32.255,IT
5.39.33.0,5.39.34.3,FR
5.39.34.4,5.39.34.255,ES
5.39.35.0,5.39.35.255,IT
5.39.36.0,5.39.36.255,BE
5.39.37.0,5.39.37.255,CZ
5.39.38.0,5.39.39.47,FR
5.39.39.48,5.39.39.255,ES
5.39.40.0,5.39.41.19,FR
5.39.41.20,5.39.41.255,BE
5.39.42.0,5.39.43.39,FR
5.39.43.40,5.39.43.255,ES
5.39.44.0,5.39.44.255,FR
5.39.45.0,5.39.45.255,GB
5.39.46.0,5.39.46.255,FR
5.39.47.0,5.39.47.255,PL
5.39.48.0,5.39.48.255,DE
5.39.49.0,5.39.49.255,GB
5.39.50.0,5.39.51.63,FR
5.39.51.64,5.39.51.255,DE
5.39.52.0,5.39.53.39,FR
5.39.53.40,5.39.53.255,NL
5.39.54.0,5.39.55.23,FR
5.39.55.24,5.39.55.255,CZ
5.39.56.0,5.39.56.255,FR
5.39.57.0,5.39.57.255,DE
5.39.58.0,5.39.58.255,FR
5.39.59.0,5.39.59.255,IT
5.39.60.0,5.39.61.15,FR
5.39.61.16,5.39.61.255,IE
5.39.62.0,5.39.62.255,FR
5.39.63.0,5.39.63.255,ES
5.39.64.0,5.39.77.5,FR
5.39.77.6,5.39.77.255,GB
5.39.78.0,5.39.85.66,FR
5.39.85.67,5.39.85.67,DE
5.39.85.68,5.39.96.51,FR
5.39.96.52,5.39.96.255,IT
5.39.97.0,5.39.97.255,DE
5.39.98.0,5.39.99.15,FR
5.39.99.16,5.39.99.255,PW
5.39.100.0,5.39.101.31,FR
5.39.101.32,5.39.101.255,BE
5.39.102.0,5.39.103.23,FR
5.39.103.24,5.39.103.255,GB
5.39.104.0,5.39.105.3,FR
5.39.105.4,5.39.105.255,CZ
5.39.106.0,5.39.106.255,FR
5.39.107.0,5.39.107.255,BE
5.39.108.0,5.39.109.3,FR
5.39.109.4,5.39.109.255,PL
5.39.110.0,5.39.110.255,DE
5.39.111.0,5.39.112.79,FR
5.39.112.80,5.39.112.255,GB
5.39.113.0,5.39.113.255,NL
5.39.114.0,5.39.116.15,FR
5.39.116.16,5.39.116.255,LT
5.39.117.0,5.39.117.255,IT
5.39.118.0,5.39.119.31,FR
5.39.119.32,5.39.119.255,PL
5.39.120.0,5.39.121.7,FR
5.39.121.8,5.39.121.255,DE
5.39.122.0,5.39.122.255,ES
5.39.123.0,5.39.124.15,FR
5.39.124.16,5.39.124.255,BE
5.39.125.0,5.39.125.255,IT
5.39.126.0,5.39.127.15,FR
5.39.127.16,5.39.127.255,CZ
5.39.128.0,5.39.159.255,HR
5.39.160.0,5.39.167.255,RU
5.39.168.0,5.39.175.255,NL
5.39.176.0,5.39.183.255,GB
5.39.184.0,5.39.191.255,NL
5.39.192.0,5.39.199.255,PL
5.39.200.0,5.39.203.255,CZ
5.39.204.0,5.39.207.255,AM
5.39.208.0,5.39.215.255,ES
5.39.216.0,5.39.223.255,NL
5.39.224.0,5.39.239.255,FR
5.39.240.0,5.39.247.255,DE
5.39.248.0,5.39.255.255,GB
5.40.0.0,5.40.255.255,ES
5.41.0.0,5.41.255.255,SA
5.42.0.0,5.42.127.255,RU
5.42.128.0,5.42.135.255,JE
5.42.136.0,5.42.143.255,DE
5.42.144.0,5.42.151.255,IT
5.42.152.0,5.42.159.255,FR
5.42.160.0,5.42.191.255,NL
5.42.192.0,5.42.223.255,IQ
5.42.224.0,5.42.255.255,SA
5.43.0.0,5.43.63.255,PT
5.43.64.0,5.43.127.255,BA
5.43.128.0,5.43.159.255,RU
5.43.160.0,5.43.191.255,HR
5.43.192.0,5.43.223.255,PS
5.43.224.0,5.43.231.255,CZ
5.43.232.0,5.43.239.255,IT
5.43.240.0,5.43.247.255,RU
5.43.248.0,5.43.255.255,IT
5.44.0.0,5.44.15.255,RU
5.44.16.0,5.44.31.255,GB
5.44.32.0,5.44.39.255,AZ
5.44.40.0,5.44.40.255,GB
5.44.41.0,5.44.41.255,US
5.44.42.0,5.44.43.255,RU
5.44.44.0,5.44.46.255,NL
5.44.47.0,5.44.47.255,US
5.44.48.0,5.44.63.255,RU
5.44.64.0,5.44.71.255,NO
5.44.72.0,5.44.79.255,NL
5.44.80.0,5.44.95.255,TR
5.44.96.0,5.44.101.255,DE
5.44.102.0,5.44.103.255,NL
5.44.104.0,5.44.107.255,DE
5.44.108.0,5.44.108.31,PY
5.44.108.32,5.44.111.255,DE
5.44.112.0,5.44.127.255,CH
5.44.128.0,5.44.135.255,GE
5.44.136.0,5.44.143.255,DK
5.44.144.0,5.44.159.255,TR
5.44.160.0,5.44.167.255,FR
5.44.168.0,5.44.175.255,RU
5.44.176.0,5.44.183.255,SE
5.44.184.0,5.44.191.255,EE
5.44.192.0,5.44.207.255,SE
5.44.208.0,5.44.215.255,AT
5.44.216.0,5.44.223.255,LV
5.44.224.0,5.44.239.255,GB
5.44.240.0,5.44.247.255,FI
5.44.248.0,5.44.248.255,GB
5.44.249.0,5.44.251.255,US
5.44.252.0,5.44.255.255,GB
5.45.0.0,5.45.7.255,DE
5.45.8.0,5.45.15.255,ES
5.45.16.0,5.45.18.255,GB
5.45.19.0,5.45.19.255,FR
5.45.20.0,5.45.35.255,NL
5.45.36.0,5.45.39.255,DE
5.45.40.0,5.45.43.255,FR
5.45.44.0,5.45.47.255,LV
5.45.48.0,5.45.50.255,GB
5.45.51.0,5.45.53.255,JE
5.45.54.0,5.45.54.255,GB
5.45.55.0,5.45.55.255,JE
5.45.56.0,5.45.59.255,CZ
5.45.60.0,5.45.62.255,NL
5.45.63.0,5.45.63.255,US
5.45.64.0,5.45.79.255,NL
5.45.80.0,5.45.83.255,RU
5.45.84.0,5.45.91.255,NL
5.45.92.0,5.45.95.255,RU
5.45.96.0,5.45.111.255,DE
5.45.112.0,5.45.127.255,EE
5.45.128.0,5.45.143.255,JO
5.45.144.0,5.45.151.255,DE
5.45.152.0,5.45.159.255,NO
5.45.160.0,5.45.175.255,ES
5.45.176.0,5.45.179.207,DE
5.45.179.208,5.45.179.255,NL
5.45.180.0,5.45.181.31,DE
5.45.181.32,5.45.181.255,NL
5.45.182.0,5.45.183.255,DE
5.45.184.0,5.45.191.255,LB
5.45.192.0,5.45.199.255,RU
5.45.200.0,5.45.200.255,DE
5.45.201.0,5.45.202.255,RU
5.45.203.0,5.45.203.255,DE
5.45.204.0,5.45.207.255,RU
5.45.208.0,5.45.208.255,BY
5.45.209.0,5.45.214.255,RU
5.45.215.0,5.45.215.255,TR
5.45.216.0,5.45.220.255,RU
5.45.221.0,5.45.221.255,KZ
5.45.222.0,5.45.222.255,RU
5.45.223.0,5.45.223.255,FI
5.45.224.0,5.45.224.255,RU
5.45.225.0,5.45.225.255,FI
5.45.226.0,5.45.234.95,RU
5.45.234.96,5.45.234.255,FI
5.45.235.0,5.45.247.127,RU
5.45.247.128,5.45.247.255,NL
5.45.248.0,5.45.249.255,RU
5.45.250.0,5.45.251.255,FI
5.45.252.0,5.45.255.255,RU
5.46.0.0,5.47.255.255,TR
5.48.0.0,5.51.255.255,FR
5.52.0.0,5.52.255.255,IR
5.53.0.0,5.53.7.255,ES
5.53.8.0,5.53.15.255,CZ
5.53.16.0,5.53.31.255,RU
5.53.32.0,5.53.63.255,IR
5.53.64.0,5.53.95.255,GB
5.53.96.0,5.53.103.255,AE
5.53.104.0,5.53.111.255,CH
5.53.112.0,5.53.119.255,UA
5.53.120.0,5.53.127.255,RU
5.53.128.0,5.53.255.255,BG
5.54.0.0,5.55.255.255,GR
5.56.0.0,5.56.7.255,ES
5.56.8.0,5.56.15.255,IT
5.56.16.0,5.56.20.255,DE
5.56.21.0,5.56.21.255,GB
5.56.22.0,5.56.22.255,DE
5.56.23.0,5.56.23.255,IN
5.56.24.0,5.56.31.255,UA
5.56.32.0,5.56.39.255,HU
5.56.40.0,5.56.47.255,FR
5.56.48.0,5.56.55.255,GB
5.56.56.0,5.56.63.255,ES
5.56.64.0,5.56.127.255,MD
5.56.128.0,5.56.132.255,IR
5.56.133.0,5.56.133.255,AE
5.56.134.0,5.56.135.255,IR
5.56.136.0,5.56.143.255,RU
5.56.144.0,5.56.159.255,DK
5.56.160.0,5.56.167.255,ES
5.56.168.0,5.56.175.255,GB
5.56.176.0,5.56.255.255,DE
5.57.0.0,5.57.7.255,LB
5.57.8.0,5.57.15.255,KG
5.57.16.0,5.57.16.255,GB
5.57.17.0,5.57.17.255,NL
5.57.18.0,5.57.18.255,GB
5.57.19.0,5.57.19.255,NL
5.57.20.0,5.57.20.255,GB
5.57.21.0,5.57.23.255,NL
5.57.24.0,5.57.31.255,ES
5.57.32.0,5.57.39.255,IR
5.57.40.0,5.57.47.255,DE
5.57.48.0,5.57.55.255,DK
5.57.56.0,5.57.63.255,GB
5.57.64.0,5.57.71.255,UA
5.57.72.0,5.57.79.255,RS
5.57.80.0,5.57.95.255,GB
5.57.96.0,5.57.127.255,RE
5.57.128.0,5.57.191.255,PL
5.57.192.0,5.57.199.255,DE
5.57.200.0,5.57.207.255,CH
5.57.208.0,5.57.212.255,US
5.57.213.0,5.57.215.255,AE
5.57.216.0,5.57.223.255,RU
5.57.224.0,5.57.229.255,ES
5.57.230.0,5.57.231.71,NL
5.57.231.72,5.57.239.255,RU
5.57.240.0,5.57.247.255,SE
5.57.248.0,5.57.255.255,NL
5.58.0.0,5.58.255.255,UA
5.59.0.0,5.59.7.255,RU
5.59.8.0,5.59.9.255,CZ
5.59.10.0,5.59.10.255,SK
5.59.11.0,5.59.11.255,KG
5.59.12.0,5.59.15.255,RU
5.59.16.0,5.59.23.255,ES
5.59.24.0,5.59.33.255,RU
5.59.34.0,5.59.34.255,CZ
5.59.35.0,5.59.35.255,RU
5.59.36.0,5.59.37.255,FR
5.59.38.0,5.59.39.255,RU
5.59.40.0,5.59.43.255,KZ
5.59.44.0,5.59.53.255,RU
5.59.54.0,5.59.54.255,UA
5.59.55.0,5.59.59.255,RU
5.59.60.0,5.59.95.255,ES
5.59.96.0,5.59.96.255,TJ
5.59.97.0,5.59.97.255,CZ
5.59.98.0,5.59.103.255,RU
5.59.104.0,5.59.105.255,UA
5.59.106.0,5.59.107.255,CZ
5.59.108.0,5.59.119.255,ES
5.59.120.0,5.59.159.255,RU
5.59.160.0,5.59.167.255,BA
5.59.168.0,5.59.175.255,ES
5.59.176.0,5.59.179.255,RU
5.59.180.0,5.59.183.255,CZ
5.59.184.0,5.59.187.255,RU
5.59.188.0,5.59.191.255,CZ
5.59.192.0,5.59.208.255,RU
5.59.209.0,5.59.211.255,CZ
5.59.212.0,5.59.213.255,RU
5.59.214.0,5.59.214.255,CZ
5.59.215.0,5.59.216.255,RU
5.59.217.0,5.59.217.255,CZ
5.59.218.0,5.59.221.255,RU
5.59.222.0,5.59.222.255,CZ
5.59.223.0,5.59.235.255,RU
5.59.236.0,5.59.236.255,CZ
5.59.237.0,5.59.240.255,RU
5.59.241.0,5.59.241.255,CZ
5.59.242.0,5.59.243.255,RU
5.59.244.0,5.59.247.255,CZ
5.59.248.0,5.59.248.255,RU
5.59.249.0,5.59.253.255,CZ
5.59.254.0,5.59.255.255,RU
5.60.0.0,5.60.255.255,PL
5.61.0.0,5.61.7.255,IT
5.61.8.0,5.61.23.255,RU
5.61.24.0,5.61.26.255,IR
5.61.27.0,5.61.27.255,US
5.61.28.0,5.61.29.127,IR
5.61.29.128,5.61.29.255,TR
5.61.30.0,5.61.31.255,IR
5.61.32.0,5.61.47.255,DE
5.61.48.0,5.61.51.255,NL
5.61.52.0,5.61.55.255,DE
5.61.56.0,5.61.59.255,NL
5.61.60.0,5.61.61.255,GB
5.61.62.0,5.61.63.255,BZ
5.61.64.0,5.61.67.255,DE
5.61.68.0,5.61.69.255,HK
5.61.70.0,5.61.71.255,US
5.61.72.0,5.61.79.255,GB
5.61.80.0,5.61.87.255,DE
5.61.88.0,5.61.95.255,FI
5.61.96.0,5.61.111.255,BG
5.61.112.0,5.61.113.255,IE
5.61.114.0,5.61.115.255,GB
5.61.116.0,5.61.117.255,US
5.61.118.0,5.61.119.255,IE
5.61.120.0,5.61.127.255,GB
5.61.128.0,5.61.191.255,DE
5.61.192.0,5.61.199.255,GB
5.61.200.0,5.61.215.255,ES
5.61.216.0,5.61.223.255,IT
5.61.224.0,5.61.231.255,CH
5.61.232.0,5.61.239.31,RU
5.61.239.32,5.61.239.255,NL
5.61.240.0,5.61.247.255,HU
5.61.248.0,5.61.255.255,NL
5.62.0.0,5.62.15.255,GB
5.62.16.0,5.62.17.255,US
5.62.18.0,5.62.19.255,RU
5.62.20.0,5.62.20.255,BE
5.62.21.0,5.62.23.255,AU
5.62.24.0,5.62.24.255,US
5.62.25.0,5.62.25.255,DE
5.62.26.0,5.62.27.255,GB
5.62.28.0,5.62.29.255,CZ
5.62.30.0,5.62.31.255,US
5.62.32.0,5.62.32.255,CZ
5.62.33.0,5.62.33.255,IN
5.62.34.0,5.62.35.7,SG
5.62.35.8,5.62.35.255,CN
5.62.36.0,5.62.37.255,CZ
5.62.38.0,5.62.39.255,NL
5.62.40.0,5.62.41.255,DE
5.62.42.0,5.62.43.255,GB
5.62.44.0,5.62.47.239,US
5.62.47.240,5.62.47.255,CA
5.62.48.0,5.62.50.255,US
5.62.51.0,5.62.51.255,BR
5.62.52.0,5.62.55.255,CZ
5.62.56.0,5.62.57.7,US
5.62.57.8,5.62.57.255,DE
5.62.58.0,5.62.59.31,US
5.62.59.32,5.62.59.255,CA
5.62.60.0,5.62.60.255,CZ
5.62.61.0,5.62.61.255,MV
5.62.62.0,5.62.62.255,GB
5.62.63.0,5.62.63.255,MT
5.62.64.0,5.62.71.255,DE
5.62.72.0,5.62.79.255,IT
5.62.80.0,5.62.81.255,US
5.62.82.0,5.62.83.159,IM
5.62.83.160,5.62.83.255,US
5.62.84.0,5.62.84.255,GG
5.62.85.0,5.62.85.255,IM
5.62.86.0,5.62.86.255,MT
5.62.87.0,5.62.87.255,IM
5.62.88.0,5.62.90.95,IE
5.62.90.96,5.62.90.255,SE
5.62.91.0,5.62.91.255,IE
5.62.92.0,5.62.92.255,US
5.62.93.0,5.62.93.255,IM
5.62.94.0,5.62.95.255,GB
5.62.96.0,5.62.126.255,DE
5.62.127.0,5.62.127.255,GB
5.62.128.0,5.62.151.255,IQ
5.62.152.0,5.62.152.255,RU
5.62.153.0,5.62.153.255,US
5.62.154.0,5.62.154.255,LV
5.62.155.0,5.62.155.255,RU
5.62.156.0,5.62.156.255,US
5.62.157.0,5.62.157.255,RU
5.62.158.0,5.62.159.255,US
5.62.160.0,5.62.255.255,IR
5.63.0.0,5.63.0.255,DE
5.63.1.0,5.63.7.255,LY
5.63.8.0,5.63.15.255,IR
5.63.16.0,5.63.19.255,GB
5.63.20.0,5.63.20.255,DE
5.63.21.0,5.63.23.255,GB
5.63.24.0,5.63.24.255,PL
5.63.25.0,5.63.25.255,FR
5.63.26.0,5.63.26.255,BR
5.63.27.0,5.63.27.255,ES
