169.0.0.0,169.1.255.255,ZA
169.45.83.192,169.45.83.255,GB
169.45.84.0,169.45.90.207,US
169.45.90.208,169.45.90.255,SG
169.45.91.0,169.45.94.223,US
169.45.94.224,169.45.94.255,JP
169.45.95.0,169.45.95.255,PH
169.45.96.0,169.45.98.231,US
169.45.98.232,169.45.98.255,TW
169.45.99.0,169.45.103.63,US
169.45.103.64,169.45.103.255,JP
169.45.104.0,169.45.108.127,US
169.45.108.128,169.45.108.255,NL
169.45.109.0,169.45.112.255,US
169.45.113.0,169.45.113.255,JP
169.45.114.0,169.45.115.175,US
169.45.115.176,169.45.115.255,JP
169.45.116.0,169.45.120.63,US
169.45.120.64,169.45.120.247,JP
169.45.120.248,169.45.122.79,US
169.45.122.80,169.45.122.255,JP
169.45.123.0,169.45.125.31,US
169.45.125.32,169.45.125.255,JP
169.45.126.0,169.45.129.255,US
169.45.130.0,169.45.130.191,NL
169.45.130.192,169.45.133.159,US
169.45.133.160,169.45.133.255,SG
169.45.134.0,169.45.135.63,US
169.45.135.64,169.45.135.239,NL
169.45.135.240,169.45.138.63,US
169.45.138.64,169.45.138.223,NL
169.45.138.224,169.45.142.127,US
169.45.142.128,169.45.142.255,NL
169.45.143.0,169.45.145.63,US
169.45.145.64,169.45.145.255,NL
169.45.146.0,169.45.146.159,US
169.45.146.160,169.45.147.255,NL
169.45.148.0,169.45.148.255,US
169.45.149.0,169.45.149.255,NL
169.45.150.0,169.45.151.71,US
169.45.151.72,169.45.151.255,NL
169.45.152.0,169.45.154.127,US
169.45.154.128,169.45.154.255,NL
169.45.155.0,169.45.157.7,US
169.45.157.8,169.45.157.255,NL
169.45.158.0,169.45.159.127,US
169.45.159.128,169.45.159.255,NL
169.45.160.0,169.45.161.31,US
169.45.161.32,169.45.161.255,MX
169.45.162.0,169.45.163.255,US
169.45.164.0,169.45.164.255,NL
169.45.165.0,169.45.165.255,MX
169.45.166.0,169.45.168.255,US
169.45.169.0,169.45.169.223,NL
169.45.169.224,169.45.171.63,US
169.45.171.64,169.45.171.255,MX
169.45.172.0,169.45.176.71,US
169.45.176.72,169.45.176.255,NL
169.45.177.0,169.45.183.191,US
169.45.183.192,169.45.183.255,NL
169.45.184.0,169.45.188.63,US
169.45.188.64,169.45.188.255,NL
169.45.189.0,169.45.192.63,US
169.45.192.64,169.45.192.255,NL
169.45.193.0,169.45.193.191,US
169.45.193.192,169.45.194.255,NL
169.45.195.0,169.45.196.127,US
169.45.196.128,169.45.197.31,NL
169.45.197.32,169.45.199.63,US
169.45.199.64,169.45.199.255,NL
169.45.200.0,169.45.203.63,US
169.45.203.64,169.45.203.255,NL
169.45.204.0,169.45.204.255,US
169.45.205.0,169.45.205.255,NL
169.45.206.0,169.45.208.63,US
169.45.208.64,169.45.208.255,NL
169.45.209.0,169.45.211.127,US
169.45.211.128,169.45.212.31,NL
169.45.212.32,169.45.214.63,US
169.45.214.64,169.45.214.255,NL
169.45.215.0,169.45.216.191,US
169.45.216.192,169.45.216.255,NL
169.45.217.0,169.45.219.127,US
169.45.219.128,169.45.219.255,NL
169.45.220.0,169.45.220.215,US
169.45.220.216,169.45.221.159,NL
169.45.221.160,169.45.223.127,US
169.45.223.128,169.45.223.255,NL
169.45.224.0,169.45.225.63,US
169.45.225.64,169.45.225.255,NL
169.45.226.0,169.45.227.63,US
169.45.227.64,169.45.227.191,NL
169.45.227.192,169.45.229.159,US
169.45.229.160,169.45.229.255,NL
169.45.230.0,169.45.230.255,US
169.45.231.0,169.45.231.223,NL
169.45.231.224,169.45.232.255,US
169.45.233.0,169.45.233.255,NL
169.45.234.0,169.45.235.63,US
169.45.235.64,169.45.235.255,NL
169.45.236.0,169.45.238.63,US
169.45.238.64,169.45.238.255,NL
169.45.239.0,169.45.240.7,US
169.45.240.8,169.45.240.223,NL
169.45.240.224,169.45.243.127,US
169.45.243.128,169.45.244.7,NL
169.45.244.8,169.45.247.7,US
169.45.247.8,169.45.247.255,NL
169.45.248.0,169.45.251.127,US
169.45.251.128,169.45.251.255,NL
169.45.252.0,169.45.252.127,US
169.45.252.128,169.45.253.199,NL
169.45.253.200,169.46.1.191,US
169.46.1.192,169.46.2.47,NL
169.46.2.48,169.46.3.127,US
169.46.3.128,169.46.3.255,NL
169.46.4.0,169.46.4.255,US
169.46.5.0,169.46.5.255,NL
169.46.6.0,169.46.7.95,US
169.46.7.96,169.46.8.7,NL
169.46.8.8,169.46.8.223,US
169.46.8.224,169.46.10.31,NL
169.46.10.32,169.46.12.255,US
169.46.13.0,169.46.13.255,NL
169.46.14.0,169.46.15.63,US
169.46.15.64,169.46.15.255,NL
169.46.16.0,169.46.17.199,US
169.46.17.200,169.46.17.255,NL
169.46.18.0,169.46.19.63,US
169.46.19.64,169.46.20.7,NL
169.46.20.8,169.46.21.207,US
169.46.21.208,169.46.21.255,NL
169.46.22.0,169.46.23.63,US
169.46.23.64,169.46.23.255,NL
169.46.24.0,169.46.24.191,US
169.46.24.192,169.46.26.63,NL
169.46.26.64,169.46.27.191,US
169.46.27.192,169.46.27.255,NL
169.46.28.0,169.46.30.255,US
169.46.31.0,169.46.32.23,NL
169.46.32.24,169.46.33.127,US
169.46.33.128,169.46.34.15,NL
169.46.34.16,169.46.35.199,US
169.46.35.200,169.46.35.255,NL
169.46.36.0,169.46.36.255,US
169.46.37.0,169.46.37.255,NL
169.46.38.0,169.46.38.255,US
169.46.39.0,169.46.39.255,NL
169.46.40.0,169.46.44.63,US
169.46.44.64,169.46.45.31,NL
169.46.45.32,169.46.46.191,US
169.46.46.192,169.46.46.255,NL
169.46.47.0,169.46.47.255,US
169.46.48.0,169.46.49.55,NL
169.46.49.56,169.46.51.63,US
169.46.51.64,169.46.52.7,NL
169.46.52.8,169.46.53.63,US
169.46.53.64,169.46.53.255,NL
169.46.54.0,169.46.55.63,US
169.46.55.64,169.46.55.255,NL
169.46.56.0,169.46.57.255,US
169.46.58.0,169.46.58.255,NL
169.46.59.0,169.46.60.127,US
169.46.60.128,169.46.60.255,NL
169.46.61.0,169.46.63.71,US
169.46.63.72,169.46.64.15,NL
169.46.64.16,169.46.65.255,US
169.46.66.0,169.46.66.255,NL
169.46.67.0,169.46.69.191,US
169.46.69.192,169.46.69.255,NL
169.46.70.0,169.46.72.207,US
169.46.72.208,169.46.73.255,NL
169.46.74.0,169.46.75.63,US
169.46.75.64,169.46.76.47,NL
169.46.76.48,169.46.76.255,US
169.46.77.0,169.46.77.255,NL
169.46.78.0,169.46.80.23,US
169.46.80.24,169.46.80.255,NL
169.46.81.0,169.46.84.255,US
169.46.85.0,169.46.85.255,NL
169.46.86.0,169.46.95.23,US
169.46.95.24,169.46.95.255,NL
169.46.96.0,169.46.97.63,US
169.46.97.64,169.46.97.255,NL
169.46.98.0,169.46.103.7,US
169.46.103.8,169.46.103.255,NL
169.46.104.0,169.46.106.135,US
169.46.106.136,169.46.107.31,NL
169.46.107.32,169.46.108.191,US
169.46.108.192,169.46.108.255,NL
169.46.109.0,169.46.111.127,US
169.46.111.128,169.46.111.255,NL
169.46.112.0,169.46.113.79,US
169.46.113.80,169.46.113.255,NL
169.46.114.0,169.46.115.63,US
169.46.115.64,169.46.115.255,NL
169.46.116.0,169.46.119.127,US
169.46.119.128,169.46.119.255,NL
169.46.120.0,169.46.123.255,US
169.46.124.0,169.46.124.247,NL
169.46.124.248,169.46.126.7,US
169.46.126.8,169.46.126.255,NL
169.46.127.0,169.46.136.63,US
169.46.136.64,169.46.136.255,NL
169.46.137.0,169.46.139.127,US
169.46.139.128,169.46.139.255,NL
169.46.140.0,169.46.142.191,US
169.46.142.192,169.46.142.255,NL
169.46.143.0,169.46.143.255,US
169.46.144.0,169.46.144.255,NL
169.46.145.0,169.46.146.63,US
169.46.146.64,169.46.147.63,NL
169.46.147.64,169.46.148.63,US
169.46.148.64,169.46.148.255,NL
169.46.149.0,169.46.150.191,US
169.46.150.192,169.46.150.255,NL
169.46.151.0,169.46.151.255,US
169.46.152.0,169.46.154.63,NL
169.46.154.64,169.46.154.191,US
169.46.154.192,169.46.156.63,NL
169.46.156.64,169.46.157.127,US
169.46.157.128,169.46.157.255,NL
169.46.158.0,169.46.160.239,US
169.46.160.240,169.46.160.255,MX
169.46.161.0,169.46.162.63,US
169.46.162.64,169.46.162.255,NL
169.46.163.0,169.46.168.63,US
169.46.168.64,169.46.168.255,MX
169.46.169.0,169.46.173.127,US
169.46.173.128,169.46.173.223,NL
169.46.173.224,169.46.178.31,US
169.46.178.32,169.46.178.143,MX
169.46.178.144,169.46.180.95,US
169.46.180.96,169.46.180.255,HK
169.46.181.0,169.46.182.135,US
169.46.182.136,169.46.182.255,NL
169.46.183.0,169.46.184.15,US
169.46.184.16,169.46.184.255,NL
169.46.185.0,169.46.186.191,US
169.46.186.192,169.46.187.127,NL
169.46.187.128,169.46.196.191,US
169.46.196.192,169.46.196.255,NL
169.46.197.0,169.46.201.95,US
169.46.201.96,169.46.201.255,MX
169.46.202.0,169.46.204.159,US
169.46.204.160,169.46.204.255,MX
169.46.205.0,169.46.240.191,US
169.46.240.192,169.46.241.255,NL
169.46.242.0,169.46.243.127,US
169.46.243.128,169.46.243.255,NL
169.46.244.0,169.46.248.191,US
169.46.248.192,169.46.252.63,NL
169.46.252.64,169.46.252.255,US
169.46.253.0,169.46.253.191,NL
169.46.253.192,169.46.255.63,US
169.46.255.64,169.46.255.255,NL
169.47.0.0,169.47.49.127,US
169.47.49.128,169.47.49.207,FR
169.47.49.208,169.47.64.95,US
169.47.64.96,169.47.64.255,NL
169.47.65.0,169.47.66.103,US
169.47.66.104,169.47.66.255,SG
169.47.67.0,169.47.68.15,US
169.47.68.16,169.47.68.255,GB
169.47.69.0,169.47.70.15,US
169.47.70.16,169.47.71.15,NL
169.47.71.16,169.47.72.79,US
169.47.72.80,169.47.72.255,NL
169.47.73.0,169.47.74.47,US
169.47.74.48,169.47.74.255,NL
169.47.75.0,169.47.75.255,US
169.47.76.0,169.47.77.39,NL
169.47.77.40,169.47.77.255,US
169.47.78.0,169.47.78.255,NL
169.47.79.0,169.47.96.63,US
169.47.96.64,169.47.96.255,NL
169.47.97.0,169.47.97.255,GB
169.47.98.0,169.47.99.31,US
169.47.99.32,169.47.99.255,NL
169.47.100.0,169.47.101.135,US
169.47.101.136,169.47.101.239,NL
169.47.101.240,169.47.103.7,US
169.47.103.8,169.47.104.15,NL
169.47.104.16,169.47.104.255,US
169.47.105.0,169.47.105.255,NL
169.47.106.0,169.47.107.31,US
169.47.107.32,169.47.107.255,IN
169.47.108.0,169.47.108.255,NL
169.47.109.0,169.47.109.255,US
169.47.110.0,169.47.110.255,GB
169.47.111.0,169.47.111.255,NL
169.47.112.0,169.47.113.7,US
169.47.113.8,169.47.113.175,IN
169.47.113.176,169.47.114.255,US
169.47.115.0,169.47.115.255,NL
169.47.116.0,169.47.117.191,US
169.47.117.192,169.47.119.63,NL
169.47.119.64,169.47.124.127,US
169.47.124.128,169.47.124.255,NL
169.47.125.0,169.47.126.63,US
169.47.126.64,169.47.127.255,NL
169.47.128.0,169.47.134.127,US
169.47.134.128,169.47.134.255,NL
169.47.135.0,169.47.136.111,US
169.47.136.112,169.47.136.255,AR
169.47.137.0,169.47.144.255,US
169.47.145.0,169.47.145.255,NL
169.47.146.0,169.47.147.143,US
169.47.147.144,169.47.147.255,NL
169.47.148.0,169.47.152.191,US
169.47.152.192,169.47.152.255,NL
169.47.153.0,169.47.155.191,US
169.47.155.192,169.47.156.63,NL
169.47.156.64,169.47.158.255,US
169.47.159.0,169.47.159.127,NL
169.47.159.128,169.47.170.255,US
169.47.171.0,169.47.171.63,NL
169.47.171.64,169.47.174.63,US
169.47.174.64,169.47.174.143,NL
169.47.174.144,169.47.178.191,US
169.47.178.192,169.47.178.255,NL
169.47.179.0,169.47.180.255,US
169.47.181.0,169.47.181.63,NL
169.47.181.64,169.47.187.63,US
169.47.187.64,169.47.187.127,NL
169.47.187.128,169.47.190.255,US
169.47.191.0,169.47.191.255,NL
169.47.192.0,169.47.194.67,US
169.47.194.68,169.47.194.255,NL
169.47.195.0,169.47.196.135,US
169.47.196.136,169.47.196.255,NL
169.47.197.0,169.47.200.255,US
169.47.201.0,169.47.201.255,NL
169.47.202.0,169.47.202.255,US
169.47.203.0,169.47.203.255,NL
169.47.204.0,169.47.206.191,US
169.47.206.192,169.47.206.255,NL
169.47.207.0,169.47.208.127,US
169.47.208.128,169.47.208.255,NL
169.47.209.0,169.47.210.63,US
169.47.210.64,169.47.210.255,CL
169.47.211.0,169.47.212.63,US
169.47.212.64,169.47.212.255,NL
169.47.213.0,169.47.214.191,US
169.47.214.192,169.47.214.255,NL
169.47.215.0,169.47.217.255,US
169.47.218.0,169.47.218.255,NL
169.47.219.0,169.47.221.127,US
169.47.221.128,169.47.221.255,NL
169.47.222.0,169.47.225.63,US
169.47.225.64,169.47.225.255,NL
169.47.226.0,169.47.227.31,US
169.47.227.32,169.47.227.223,NL
169.47.227.224,169.47.229.7,US
169.47.229.8,169.47.229.255,NL
169.47.230.0,169.47.232.63,US
169.47.232.64,169.47.233.15,NL
169.47.233.16,169.47.234.79,US
169.47.234.80,169.47.234.255,MX
169.47.235.0,169.47.236.7,US
169.47.236.8,169.47.236.255,NL
169.47.237.0,169.47.240.127,US
169.47.240.128,169.47.240.255,NL
169.47.241.0,169.47.242.71,US
169.47.242.72,169.47.242.255,NL
169.47.243.0,169.47.246.199,US
169.47.246.200,169.47.246.255,NL
169.47.247.0,169.47.252.127,US
169.47.252.128,169.47.252.191,NL
169.47.252.192,169.47.255.255,US
169.48.0.0,169.48.31.255,CA
169.48.32.0,169.48.36.63,NL
169.48.36.64,169.48.36.255,NO
169.48.37.0,169.48.37.191,US
169.48.37.192,169.48.63.255,NL
169.48.64.0,169.48.67.135,US
169.48.67.136,169.48.67.255,NL
169.48.68.0,169.48.79.95,US
169.48.79.96,169.48.79.223,MX
169.48.79.224,169.48.97.63,US
169.48.97.64,169.48.97.255,NL
169.48.98.0,169.48.103.255,US
169.48.104.0,169.48.104.239,NL
169.48.104.240,169.48.106.127,US
169.48.106.128,169.48.106.255,NL
169.48.107.0,169.48.109.127,US
169.48.109.128,169.48.109.255,NL
169.48.110.0,169.48.110.255,US
169.48.111.0,169.48.111.255,NL
169.48.112.0,169.48.113.255,US
169.48.114.0,169.48.114.255,NL
169.48.115.0,169.48.116.63,US
169.48.116.64,169.48.117.63,NL
169.48.117.64,169.48.120.79,US
169.48.120.80,169.48.120.255,NL
169.48.121.0,169.48.122.7,US
169.48.122.8,169.48.122.255,NL
169.48.123.0,169.48.124.127,US
169.48.124.128,169.48.124.255,NL
169.48.125.0,169.48.129.135,US
169.48.129.136,169.48.129.255,NL
169.48.130.0,169.48.132.47,US
169.48.132.48,169.48.132.255,NL
169.48.133.0,169.48.134.71,US
169.48.134.72,169.48.134.191,NL
169.48.134.192,169.48.137.255,US
169.48.138.0,169.48.138.255,NL
169.48.139.0,169.48.141.191,US
169.48.141.192,169.48.142.7,NL
169.48.142.8,169.48.143.127,US
169.48.143.128,169.48.143.255,NL
169.48.144.0,169.48.160.255,US
169.48.161.0,169.48.161.255,NL
169.48.162.0,169.48.163.191,US
169.48.163.192,169.48.163.255,NL
169.48.164.0,169.48.164.255,US
169.48.165.0,169.48.165.255,NL
169.48.166.0,169.48.167.63,US
169.48.167.64,169.48.168.63,NL
169.48.168.64,169.48.170.63,US
169.48.170.64,169.48.170.255,NL
169.48.171.0,169.48.172.15,US
169.48.172.16,169.48.172.255,NL
169.48.173.0,169.48.174.127,US
169.48.174.128,169.48.174.255,NL
169.48.175.0,169.48.178.255,US
169.48.179.0,169.48.180.31,NL
169.48.180.32,169.48.182.207,US
169.48.182.208,169.48.182.255,NL
169.48.183.0,169.48.184.63,US
169.48.184.64,169.48.185.39,NL
169.48.185.40,169.48.185.255,US
169.48.186.0,169.48.186.255,NL
169.48.187.0,169.48.190.63,US
169.48.190.64,169.48.190.127,NL
169.48.190.128,169.48.192.127,US
169.48.192.128,169.48.193.7,NL
169.48.193.8,169.48.194.127,US
169.48.194.128,169.48.195.7,NL
169.48.195.8,169.48.196.63,US
169.48.196.64,169.48.196.255,NL
169.48.197.0,169.48.198.47,US
169.48.198.48,169.48.198.255,NL
169.48.199.0,169.48.200.31,US
169.48.200.32,169.48.200.255,NL
169.48.201.0,169.48.202.7,US
169.48.202.8,169.48.202.255,NL
169.48.203.0,169.48.203.255,US
169.48.204.0,169.48.204.255,CN
169.48.205.0,169.48.205.255,NL
169.48.206.0,169.48.207.7,US
169.48.207.8,169.48.207.255,AR
169.48.208.0,169.48.208.255,CA
169.48.209.0,169.48.209.255,NL
169.48.210.0,169.48.210.255,US
169.48.211.0,169.48.211.255,NL
169.48.212.0,169.48.213.79,US
169.48.213.80,169.48.213.255,NL
169.48.214.0,169.48.215.7,US
169.48.215.8,169.48.215.255,NL
169.48.216.0,169.48.217.255,US
169.48.218.0,169.48.218.255,NL
169.48.219.0,169.48.220.71,US
169.48.220.72,169.48.221.31,NL
169.48.221.32,169.48.222.63,US
169.48.222.64,169.48.222.255,SG
169.48.223.0,169.48.224.3,US
169.48.224.4,169.48.225.15,NL
169.48.225.16,169.48.226.143,US
169.48.226.144,169.48.227.23,NL
169.48.227.24,169.48.227.207,US
169.48.227.208,169.48.228.255,NL
169.48.229.0,169.48.230.15,US
169.48.230.16,169.48.230.255,NL
169.48.231.0,169.48.231.223,CA
169.48.231.224,169.48.233.7,US
169.48.233.8,169.48.233.255,GB
169.48.234.0,169.48.234.255,NL
169.48.235.0,169.48.236.71,US
169.48.236.72,169.48.236.255,NL
169.48.237.0,169.48.240.15,US
169.48.240.16,169.48.240.255,GB
169.48.241.0,169.48.242.71,US
169.48.242.72,169.48.242.255,NL
169.48.243.0,169.48.243.255,US
169.48.244.0,169.48.245.17,NL
169.48.245.18,169.48.246.31,US
169.48.246.32,169.48.246.255,NL
169.48.247.0,169.48.247.255,US
169.48.248.0,169.48.248.255,NL
169.48.249.0,169.48.249.239,US
169.48.249.240,169.48.250.255,NL
169.48.251.0,169.48.252.15,US
169.48.252.16,169.48.252.255,GB
169.48.253.0,169.48.253.255,US
169.48.254.0,169.48.254.255,CA
169.48.255.0,169.48.255.255,US
169.49.0.0,169.49.255.255,CH
169.50.0.0,169.50.0.255,SE
169.50.1.0,169.50.1.255,DE
169.50.2.0,169.50.2.255,US
169.50.3.0,169.50.3.255,DE
169.50.4.0,169.50.4.255,US
169.50.5.0,169.50.5.255,GB
169.50.6.0,169.50.7.15,DE
169.50.7.16,169.50.7.255,CN
169.50.8.0,169.50.8.255,DE
169.50.9.0,169.50.10.15,US
169.50.10.16,169.50.11.15,DE
169.50.11.16,169.50.11.255,US
169.50.12.0,169.50.12.255,DE
169.50.13.0,169.50.13.255,GB
169.50.14.0,169.50.14.255,IE
169.50.15.0,169.50.16.7,DE
169.50.16.8,169.50.16.255,IT
169.50.17.0,169.50.17.255,GB
169.50.18.0,169.50.18.255,NL
169.50.19.0,169.50.20.7,US
169.50.20.8,169.50.21.31,DE
169.50.21.32,169.50.21.255,IT
169.50.22.0,169.50.22.255,GB
169.50.23.0,169.50.23.255,SG
169.50.24.0,169.50.24.255,NL
169.50.25.0,169.50.26.7,DE
169.50.26.8,169.50.26.255,US
169.50.27.0,169.50.28.63,DE
169.50.28.64,169.50.28.255,NL
169.50.29.0,169.50.30.31,CA
169.50.30.32,169.50.30.255,NL
169.50.31.0,169.50.31.255,US
169.50.32.0,169.50.32.255,CA
169.50.33.0,169.50.33.255,GB
169.50.34.0,169.50.34.255,DE
169.50.35.0,169.50.35.255,SE
169.50.36.0,169.50.36.255,SG
169.50.37.0,169.50.38.15,US
169.50.38.16,169.50.38.255,AT
169.50.39.0,169.50.39.255,GB
169.50.40.0,169.50.40.255,US
169.50.41.0,169.50.41.255,NL
169.50.42.0,169.50.42.255,CZ
169.50.43.0,169.50.43.255,DE
169.50.44.0,169.50.44.255,ES
169.50.45.0,169.50.46.15,DE
169.50.46.16,169.50.46.255,NL
169.50.47.0,169.50.48.127,US
169.50.48.128,169.50.49.15,NL
169.50.49.16,169.50.49.255,GB
169.50.50.0,169.50.50.255,US
169.50.51.0,169.50.51.255,NL
169.50.52.0,169.50.53.143,US
169.50.53.144,169.50.53.191,NL
169.50.53.192,169.50.55.191,US
169.50.55.192,169.50.55.255,NL
169.50.56.0,169.50.57.31,US
169.50.57.32,169.50.57.255,DE
169.50.58.0,169.50.58.255,NL
169.50.59.0,169.50.60.63,DE
169.50.60.64,169.50.60.255,ES
169.50.61.0,169.50.61.255,DE
169.50.62.0,169.50.63.3,GB
169.50.63.4,169.50.64.39,US
169.50.64.40,169.50.64.239,GB
169.50.64.240,169.50.66.211,US
169.50.66.212,169.50.66.255,GB
169.50.67.0,169.50.68.63,US
169.50.68.64,169.50.68.255,CA
169.50.69.0,169.50.70.63,US
169.50.70.64,169.50.70.255,NL
169.50.71.0,169.50.71.255,US
169.50.72.0,169.50.72.255,GB
169.50.73.0,169.50.73.255,US
169.50.74.0,169.50.74.223,GB
169.50.74.224,169.50.75.255,US
169.50.76.0,169.50.76.255,NL
169.50.77.0,169.50.77.255,US
169.50.78.0,169.50.78.239,GB
169.50.78.240,169.50.80.63,US
169.50.80.64,169.50.80.255,DE
169.50.81.0,169.50.81.255,GB
169.50.82.0,169.50.83.15,US
169.50.83.16,169.50.83.255,HK
169.50.84.0,169.50.84.255,US
169.50.85.0,169.50.85.255,NL
169.50.86.0,169.50.87.47,US
169.50.87.48,169.50.87.167,GB
169.50.87.168,169.50.89.31,US
169.50.89.32,169.50.89.255,GB
169.50.90.0,169.50.91.7,US
169.50.91.8,169.50.91.223,GB
169.50.91.224,169.50.93.31,US
169.50.93.32,169.50.93.223,GB
169.50.93.224,169.50.94.255,US
169.50.95.0,169.50.95.255,GB
169.50.96.0,169.50.102.63,US
169.50.102.64,169.50.102.127,GB
